<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.06.07	1.08740	1.09850	1.06500	1.07920	359273	0	40
2009.06.14	1.08090	1.09560	1.07610	1.08120	79094	0	40
2009.06.21	1.08020	1.10220	1.06310	1.08349	181539	0	40
2009.06.28	1.08291	1.09110	1.07122	1.08650	254472	0	40
2009.07.05	1.08810	1.09560	1.07500	1.08630	66397	0	40
2009.07.12	1.08510	1.09390	1.07020	1.07670	69571	0	40
2009.07.19	1.07570	1.07710	1.06230	1.07170	61940	0	40
2009.07.26	1.06980	1.09330	1.06530	1.06840	53596	0	40
2009.08.02	1.06760	1.08440	1.05620	1.08100	49571	0	40
2009.08.09	1.08190	1.08830	1.06710	1.07190	49223	0	40
2009.08.16	1.07340	1.08340	1.05530	1.05830	43916	0	40
2009.08.23	1.05680	1.07140	1.05310	1.05970	38947	0	40
2009.08.30	1.06000	1.07030	1.05430	1.06050	186718	0	40
2009.09.06	1.06060	1.06060	1.03390	1.03830	121393	0	40
2009.09.13	1.03600	1.04210	1.02730	1.02940	37415	0	40
2009.09.20	1.03060	1.03880	1.01850	1.02740	41774	0	40
2009.09.27	1.02690	1.04510	1.02500	1.03500	44935	0	40
2009.10.04	1.03410	1.03580	1.02340	1.03120	51058	0	40
2009.10.11	1.03140	1.03510	1.01160	1.01810	34345	0	40
2009.10.18	1.01860	1.02270	1.00320	1.00860	33758	0	40
2009.10.25	1.00770	1.02850	1.00510	1.02620	82019	0	40
2009.11.01	1.02421	1.03374	1.01261	1.01720	259151	0	10
2009.11.08	1.01541	1.01929	1.00345	1.01239	246562	0	10
2009.11.15	1.01163	1.02224	1.00466	1.01786	274437	0	10
2009.11.22	1.01850	1.01855	0.99167	1.00576	244039	0	10
2009.11.29	1.00430	1.01908	0.99593	1.01650	210765	0	10
2009.12.06	1.01550	1.03672	1.01362	1.03435	264322	0	10
2009.12.13	1.03527	1.05066	1.02943	1.04249	206127	0	10
2009.12.20	1.04060	1.05026	1.03202	1.03872	122355	0	10
2009.12.27	1.03622	1.04206	1.02781	1.03454	111697	0	20
2010.01.03	1.03472	1.04186	1.02250	1.02362	203033	0	10
2010.01.10	1.02376	1.02856	1.01319	1.02518	210976	0	10
2010.01.17	1.02797	1.04946	1.02273	1.04116	242241	0	10
