<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2004.08.09	00:00:00	1.25010	1.25410	1.24970	1.25260	2430	0	50
2004.08.09	04:00:00	1.25290	1.25350	1.25000	1.25200	2283	0	50
2004.08.09	08:00:00	1.25200	1.25660	1.25110	1.25500	2704	0	50
2004.08.09	12:00:00	1.25470	1.25780	1.25300	1.25520	2679	0	50
2004.08.09	16:00:00	1.25500	1.25650	1.25360	1.25480	2367	0	50
2004.08.09	20:00:00	1.25460	1.25510	1.25290	1.25450	1945	0	50
2004.08.10	00:00:00	1.25490	1.25530	1.25260	1.25340	1974	0	50
2004.08.10	04:00:00	1.25380	1.25470	1.25240	1.25390	2008	0	50
2004.08.10	08:00:00	1.25420	1.25510	1.25260	1.25380	2270	0	50
2004.08.10	12:00:00	1.25350	1.25470	1.25110	1.25190	2224	0	50
2004.08.10	16:00:00	1.25160	1.25470	1.24910	1.25390	2349	0	50
2004.08.10	20:00:00	1.25420	1.26380	1.25240	1.26260	2567	0	50
2004.08.11	00:00:00	1.26290	1.26340	1.26050	1.26200	1829	0	50
2004.08.11	04:00:00	1.26160	1.26280	1.26010	1.26120	1992	0	50
2004.08.11	08:00:00	1.26070	1.26280	1.25890	1.26160	2397	0	50
2004.08.11	12:00:00	1.26150	1.26400	1.25870	1.26290	2484	0	50
2004.08.11	16:00:00	1.26250	1.26500	1.25990	1.26130	2490	0	50
2004.08.11	20:00:00	1.26160	1.26310	1.26050	1.26050	1991	0	50
2004.08.12	00:00:00	1.26100	1.26230	1.25950	1.26030	2073	0	50
2004.08.12	04:00:00	1.25970	1.26050	1.25820	1.25960	1850	0	50
2004.08.12	08:00:00	1.25950	1.25970	1.25390	1.25510	2512	0	50
2004.08.12	12:00:00	1.25540	1.25990	1.25080	1.25830	2603	0	50
2004.08.12	16:00:00	1.25840	1.25960	1.25570	1.25630	2820	0	50
2004.08.12	20:00:00	1.25620	1.25770	1.25430	1.25680	2254	0	50
2004.08.13	00:00:00	1.25630	1.25890	1.25520	1.25720	2271	0	50
2004.08.13	04:00:00	1.25720	1.25900	1.25660	1.25830	2327	0	50
2004.08.13	08:00:00	1.25830	1.26320	1.25770	1.25830	2751	0	50
2004.08.13	12:00:00	1.25850	1.25960	1.24230	1.24460	2733	0	50
2004.08.13	16:00:00	1.24470	1.24550	1.23780	1.23990	2806	0	50
2004.08.13	20:00:00	1.24010	1.24120	1.23750	1.23880	1927	0	50
2004.08.16	00:00:00	1.23840	1.24040	1.23720	1.23930	1905	0	50
2004.08.16	04:00:00	1.23960	1.24180	1.23830	1.24140	1892	0	50
2004.08.16	08:00:00	1.24160	1.24370	1.24020	1.24240	2228	0	50
2004.08.16	12:00:00	1.24200	1.24390	1.23810	1.24070	2501	0	50
2004.08.16	16:00:00	1.24080	1.24590	1.24030	1.24220	2230	0	50
2004.08.16	20:00:00	1.24200	1.24330	1.23990	1.24160	1926	0	50
2004.08.17	00:00:00	1.24140	1.24210	1.24010	1.24130	1850	0	50
2004.08.17	04:00:00	1.24090	1.24170	1.23920	1.24080	1908	0	50
2004.08.17	08:00:00	1.24130	1.24410	1.23770	1.24330	2507	0	50
2004.08.17	12:00:00	1.24290	1.24810	1.24020	1.24570	2704	0	50
2004.08.17	16:00:00	1.24550	1.24780	1.24420	1.24530	2285	0	50
2004.08.17	20:00:00	1.24530	1.24650	1.24300	1.24410	1647	0	50
2004.08.18	00:00:00	1.24390	1.24590	1.24310	1.24520	1573	0	50
2004.08.18	04:00:00	1.24500	1.24550	1.24290	1.24430	1875	0	50
2004.08.18	08:00:00	1.24400	1.24700	1.24200	1.24500	2356	0	50
