<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.02.04	1.41017	1.41503	1.37643	1.38233	1271451	0	1
2018.02.11	1.38062	1.41448	1.37950	1.40339	913856	0	1
2018.02.18	1.40124	1.40493	1.38565	1.39613	799550	0	1
2018.02.25	1.39871	1.40697	1.37115	1.38013	830819	0	1
2018.03.04	1.37955	1.39292	1.37663	1.38530	812217	0	1
2018.03.11	1.38500	1.39954	1.38409	1.39420	635653	0	1
2018.03.18	1.39449	1.42181	1.39125	1.41316	920353	0	1
2018.03.25	1.41319	1.42444	1.40103	1.40211	735052	0	1
2018.04.01	1.40126	1.41052	1.39658	1.40881	475232	0	1
2018.04.08	1.40819	1.42961	1.40781	1.42382	397884	0	1
2018.04.15	1.42375	1.43762	1.40008	1.40010	402445	0	1
2018.04.22	1.39978	1.40309	1.37469	1.37792	400687	0	1
2018.04.29	1.37701	1.37923	1.34861	1.35301	502855	0	1
2018.05.06	1.35304	1.36175	1.34597	1.35412	528457	0	1
2018.05.13	1.35342	1.36082	1.34511	1.34686	471220	0	1
2018.05.20	1.34590	1.34914	1.32922	1.32955	522601	0	1
2018.05.27	1.33121	1.33617	1.32040	1.33474	539995	0	1
2018.06.03	1.33320	1.34723	1.32944	1.34067	469253	0	1
2018.06.10	1.34044	1.34464	1.32110	1.32764	505096	0	1
2018.06.17	1.32614	1.33147	1.31017	1.32652	538804	0	1
2018.06.24	1.32491	1.32919	1.30491	1.32084	570551	0	1
2018.07.01	1.31941	1.32899	1.30946	1.32864	497583	0	1
2018.07.08	1.33148	1.33627	1.31024	1.32349	503789	0	1
2018.07.15	1.32221	1.32925	1.29573	1.31298	475171	0	0
2018.07.22	1.31203	1.32127	1.30709	1.31059	427447	0	4
2018.07.29	1.31081	1.31722	1.29749	1.30023	386249	0	3
2018.08.05	1.29994	1.30076	1.27223	1.27695	372335	0	6
2018.08.12	1.27400	1.28267	1.26611	1.27500	453591	0	3
2018.08.19	1.27414	1.29358	1.27288	1.28476	390219	0	3
2018.08.26	1.28359	1.30429	1.28282	1.29554	427084	0	3
2018.09.02	1.29139	1.30283	1.27848	1.29146	437644	0	3
2018.09.09	1.29217	1.31431	1.28963	1.30686	399001	0	4
2018.09.16	1.30676	1.32979	1.30536	1.30803	437894	0	3
2018.09.23	1.30755	1.32169	1.29995	1.30290	403084	0	4
2018.09.30	1.30380	1.31223	1.29214	1.31147	479701	0	3
2018.10.07	1.31138	1.32572	1.30275	1.31538	594240	0	6
2018.10.14	1.30844	1.32359	1.30107	1.30650	553282	0	6
2018.10.21	1.30627	1.30894	1.27763	1.28233	636070	0	3
2018.10.28	1.28244	1.30404	1.26936	1.29639	577036	0	5
2018.11.04	1.30226	1.31740	1.29576	1.29695	538645	0	5
2018.11.11	1.29145	1.30713	1.27223	1.28216	647701	0	5
